InstanceID	N0	N1	X	N2	Class
387	1390.9854847579975	1409.752889106261	2911.8090940329294	1988.31266796523	0.989358247
341	1260.2210941733006	1322.0394409315395	2613.2248890638834	1992.7874542588295	-0.756802495
209	2121.1340130856092	2225.224996736417	3483.6734866762013	2917.051307524566	-0.279415498
425	2292.270742864026	2382.1731046488435	3592.143593029269	3084.1947109183848	-0.279415498
373	1212.4005830790932	1394.3575050469751	2645.48270922798	1993.0995473493394	-0.756802495
217	1417.4327390676012	1494.9290756583966	2925.7917287380797	2149.494364903735	0.909297427
473	1025.365109791192	1048.6704077958063	2298.8812764412037	1596.3940283362904	-0.958924275
310	1486.4807817757574	1563.7180992526708	2983.8925735709367	2253.9672528638603	0.909297427
353	1729.2207359236427	1778.372045597721	2948.1624119437984	2469.6382121842025	-0.544021111
33	1531.223272432758	1605.2561830610607	2975.8189898348837	2234.138518942364	0.909297427
446	2187.500683675142	2284.9106074875567	3530.9770805825797	3025.4099338901165	-0.279415498
144	2313.725596679079	2365.6738194964037	3698.0137964473556	3029.848085316688	0.412118485
106	2159.3326621273773	2301.765727155087	3406.294150810904	2901.820000786168	0.0
40	2120.4381246921594	2319.4725065090233	3563.3668650635423	2974.3645954304557	-0.279415498
190	1570.2568928153607	1605.8340454816946	2891.649266016096	2274.0347658165315	-0.544021111
76	1629.9427621125292	1756.2611391049186	2956.030147927908	2380.824230259203	-0.544021111
381	1426.0462309892857	1543.6940770211822	2943.2109832456144	2130.147798017256	0.909297427
327	1635.098636937953	1704.7385452960625	2859.3013348390436	2392.8951104932007	-0.544021111
79	1703.916212575671	1798.161898585433	3019.4629654136593	2475.0886196235083	-0.544021111
19	2206.0098745500586	2372.3693217818786	3593.5069453314627	2995.7986665920953	-0.279415498
219	2126.420113825259	2372.5977614703966	3404.8635089482277	2961.9470266468934	0.0
273	1267.8540510383557	1332.6784497463786	2768.72428983629	1975.6236920329611	0.989358247
156	2177.9722555292165	2298.2234102260622	3483.257052774684	2905.50779979549	0.141120008
24	1749.6973257826016	1723.4016587932788	3193.0404093071065	2450.0856584649355	0.656986599
108	2190.124687261517	2303.6218757716524	3556.5571880526513	3008.1100714430763	0.141120008
64	1482.6961207073693	1498.3235937564946	2666.1148651651934	2205.1307910476685	-0.544021111
152	2208.015186700403	2296.4632307771863	3536.0486160351215	3027.5670374064202	0.141120008
30	2105.0315635985785	2210.2917341709126	3443.4573004927583	2915.8765618664984	-0.279415498
269	2108.9817889434225	2245.9000776157814	3479.4904097756175	2957.0484122235457	-0.279415498
294	1462.2822712187124	1531.3593975146366	2725.0272962315407	2223.3826925215953	-0.544021111
202	1521.9804383470068	1584.2154671407004	2791.0512506293776	2268.4387630273973	-0.544021111
382	1556.9119366496163	1489.5959513295138	2941.625551556081	2199.4880687971017	0.841470985
114	1451.4790853243194	1423.897573329865	2900.2346386115273	2169.2998445097487	0.841470985
488	2171.9284391874075	2339.923343500781	3432.6474751320293	2904.1843221112713	0.0
264	1332.9418382053261	1336.1393929292465	2850.2792915879063	1980.9340071296112	0.989358247
438	946.1624422172958	988.8421280496234	2262.525433422289	1583.5822533549112	-0.958924275
439	1374.7875940923793	1501.390466541372	2744.4751480222976	2166.3828881129025	-0.756802495
417	2191.4188261704776	2306.577004158674	3594.924033247472	3055.440421880682	-0.279415498
470	1815.339405946007	1889.5934345665896	3100.5484505262716	2593.6291470607366	-0.544021111
82	2238.5464707463143	2345.8913419609557	3591.8916560421317	2992.3304234660122	0.141120008
18	2229.8178003857383	2308.074009021663	3599.6871301629553	3014.132308516382	-0.279415498
74	1327.0104134170178	1424.3038254965963	2871.3128485073867	2065.2864407377665	0.909297427
203	952.861414817183	1079.608710972429	2320.2243947109737	1682.0981540861144	-0.958924275
9	1956.5794841014135	2032.5867077908888	3479.7410558718675	2628.1268483950903	0.656986599
