InstanceID	N1	X	N2	Class
109	1312.9370179726043	3263.138889934992	1022.0286522064833	166.0
173	2538.0616054788898	4717.2052138664085	1816.2724444538312	100.0
129	1675.139537799192	3142.5672382089424	1113.6334087609218	192.0
317	2375.29871620549	4698.505655402975	2322.5020357660655	20.0
114	1753.7523899614537	3478.048057601435	1263.6070829672783	174.0
41	2490.6521531536077	5099.849823098322	2066.307582245616	46.0
184	1902.0891933858811	3866.5195676925637	1353.5057801648354	142.0
9	1916.7917272872244	3917.954795110278	1363.862014872139	144.0
37	2098.8434958361263	4387.84977716613	1756.833327640125	100.0
101	1705.6671564105775	3598.758849355687	1168.2620966682312	160.0
404	980.1836102917409	2268.6439328161787	822.1622554245415	198.0
57	2285.0772574562743	4654.044409699215	1922.2900250316643	96.0
5	2047.3273900019237	4411.682972522647	1901.433995479441	28.0
209	1374.0411287995878	3691.0873288757525	1556.4602441732263	18.0
401	2034.5420770556238	4067.8502766272923	1402.9477632701985	124.0
366	1643.2401888503557	3616.060830646068	1373.991119206975	126.0
53	1213.1024267610312	3497.781625417325	1454.5926168269652	18.0
264	1635.497494178661	2987.41630374649	1058.1919207856638	194.0
412	2409.0058158436655	4944.344176184797	2112.7787959844773	54.0
441	1273.664635341951	3868.835715981423	1495.759846110899	52.0
64	2077.4212470359425	4503.795418234206	1700.0065919849217	52.0
27	1339.4842414978575	3077.878527346506	1006.2760110397144	176.0
309	1490.2628541177507	3794.436305231694	1562.6305086066382	18.0
427	1438.0092541560482	4083.1615409274614	1636.4447380552529	58.0
203	2232.5343476807907	4347.036640920487	1661.525979245514	96.0
428	2346.9048386894656	4694.457140777662	1724.0244422784676	72.0
330	1477.739847600023	3637.3133658445795	1190.2671920939167	126.0
98	2217.7338459984608	4130.38720346964	1529.6464856636005	142.0
79	1961.7018843024546	4175.414872867666	1956.7517081026076	16.0
12	1643.5967566269894	3833.3245242694643	1808.1043399613718	8.0
58	2035.7154095062028	3870.2841578609946	1493.6379100787185	142.0
242	1392.6004779028174	2511.5209444614816	928.0704181071147	200.0
254	1534.8185628929748	4037.624541069829	1654.8022806382785	74.0
164	1299.1068607705054	2737.933202449913	926.2299302018233	194.0
232	2591.842022435266	5060.008876256374	2107.2968117576524	68.0
150	2605.2279826977615	5006.9117070172	2039.726279432339	72.0
139	2454.1307987687214	5052.764462063952	2017.7199153693039	56.0
329	1611.2085398287747	3629.0687680775554	1195.529315916307	154.0
382	1990.522682476116	3978.2844754324155	1326.8575848761368	146.0
81	2387.770005953721	4489.000165640028	1665.3332690824614	116.0
85	2353.957315188025	4799.360863568478	2040.3074232061585	48.0
35	1298.0263109552575	2946.1506102436892	951.1742613163558	180.0
385	1836.9255184054045	3911.6581399554607	1313.278673313647	152.0
319	2221.7190481830116	4233.161104113839	1570.2683211802457	140.0
94	2642.8939350178066	5046.686789045531	2127.1698725610354	66.0
56	1925.4954884796407	4239.968759811562	1483.7533535653542	112.0
315	2206.5412225727546	4497.456834032603	1641.888638017126	106.0
127	1998.2967754816277	4056.6035643427426	1327.5538387386657	122.0
143	2047.4340548495225	3985.031131837149	1455.693171133547	156.0
7	1312.8621041470776	3574.868295932783	1610.5399084867247	10.0
231	1663.2476167409009	4065.645772443634	1653.1802170054818	26.0
8	1289.501035208581	3370.628067246231	1408.2647912434218	2.0
42	2074.047088346868	4218.880245596126	2115.1287118431596	14.0
36	1925.740382152935	3860.4811778791386	1301.1000609141392	132.0
16	2534.4637830841484	4754.9567527455865	1765.2022269976032	76.0
437	1147.5426296055546	3485.7998238826362	1466.0652715598019	18.0
46	2089.58755230381	4142.575963419386	1401.9796770346932	116.0
92	1459.646882045423	3120.8076403065566	969.1975694816649	178.0
281	2135.323493856924	4096.129794123417	1524.3224339555259	128.0
90	1991.7825947617619	3906.190643275004	1550.7254087749718	144.0
413	1414.1493868619525	3559.843296786074	1245.8484019349444	108.0
398	1151.1371371050725	2619.6177140929144	919.9575624058351	192.0
234	2339.289346761922	4415.115814350932	1764.4899389731925	134.0
169	1816.4341585258337	3283.7219794453376	1265.7692302450052	188.0
324	2019.714600559867	4030.4376477364904	2027.967905042955	4.0
275	2199.7554484625516	4645.726099112974	1761.04083309454	50.0
0	1218.8833310993707	3362.549557602157	1287.177258330952	80.0
177	1548.8986584684255	3818.356556336982	1529.164886460965	78.0
355	1338.170240836909	2971.539912527067	951.9419990590119	180.0
182	1411.2062292157614	2940.4959299524817	1029.2050290079417	186.0
248	2083.322366141808	4338.234866067333	1817.0961245761407	24.0
211	1840.1898698548066	4302.143891238248	1798.908384364863	64.0
362	1581.2446701455958	4086.2533348766187	1620.7452477975698	74.0
325	2347.2669504817	4784.255324048625	2088.5409091214783	52.0
420	1866.084683759943	3738.8642109311527	1170.886079000716	138.0
442	1928.2924564341808	3727.7614450579495	1393.6750937911022	162.0
186	1649.7721874027777	3090.4986132014637	1126.0405910098973	186.0
246	2123.979793818386	4429.041703109484	1653.6709601725183	116.0
28	2355.3836248986745	4570.568611408171	1839.4263344309397	88.0
218	1605.6142302096373	4198.472932070493	1709.9791841294602	38.0
105	1234.356457190295	3342.519914628616	1054.130790126285	152.0
287	1966.4178866184266	3789.8251107067335	1304.6652057301635	160.0
265	2312.7215369481137	4294.973255528719	1712.0988285729609	140.0
66	2224.6404188940855	4655.381589765252	1956.5449731277024	34.0
262	2253.1363840621475	4666.893451085592	1924.011981441908	70.0
196	1262.1893753129193	3496.0268156169946	1524.5013880855688	12.0
2	996.2298289457983	2532.7133236686277	852.6361111786164	184.0
422	1750.6506101983841	3680.3202691610018	1471.1396040428776	140.0
323	2065.8018513751435	4122.921384828101	1490.703563765051	138.0
137	1584.6591628367703	3970.651361611931	1404.531187545179	112.0
386	2445.554189702035	4944.338336877059	2014.1987018435016	68.0
180	2098.985840221666	4181.089717184819	1487.662480482094	102.0
295	2061.341031154266	4023.918794845528	1495.3279871173481	150.0
421	2242.0023317687205	4644.517658964535	1949.003645202279	36.0
263	2204.668103047576	4270.739498820714	1390.2010518008615	96.0
207	1474.9980044242484	3525.1645598503274	1109.0588086533164	154.0
434	1713.4123740365949	4003.4222513293244	1605.9007155393522	106.0
402	1911.6926663267268	3654.912401946416	1297.1606381795134	170.0
276	1770.4808041155784	3550.5388539615938	1261.8364460712266	172.0
102	1902.5174442449668	3957.578425837502	1863.7568800070353	6.0
6	1697.679229529635	2966.004561854821	1161.8603888489165	196.0
